date,index,setup_type,direction,gap_pct,vix,adx_val,rsi_val,entry_time,exit_time,entry_spot,exit_spot,entry_premium,exit_premium,sl_pts,tp_pts,lots,quantity,candles_held,gross_pnl,theta_cost,slippage_cost,brokerage_cost,stt_cost,pnl,pnl_pct,exit_reason
2024-01-04,NIFTY,GAP_GO,CALL,0.38,15.0,30.1,54.6,09:45:00,10:45:00,21602.25,21635.1,179.5,186.88,5.25,15.75,2,100,4,338.15,904.35,400,40.0,5.55,292.6,1.63,MaxHold (4c)
2024-01-09,NIFTY,GAP_GO,CALL,0.66,15.0,25.0,53.5,09:45:00,10:45:00,21625.75,21680.05,96.05,117.64,15.65,46.95,3,150,4,2637.8,834.7,600,40.0,5.2,2592.59,17.99,MaxHold (4c)
2024-01-15,NIFTY,GAP_GO,CALL,0.66,15.0,45.7,65.1,09:45:00,10:00:00,21982.75,22010.25,119.58,125.58,2.0,6.0,3,150,1,300.0,215.24,600,40.0,5.56,254.44,1.42,TP (+6.0pts)
2024-01-19,NIFTY,GAP_GO,CALL,0.64,15.0,38.5,64.5,09:45:00,10:45:00,21640.6,21623.95,166.48,150.17,16.97,50.92,3,150,4,-3046.48,1197.73,600,40.0,6.67,-3093.14,-12.39,MaxHold (4c)
2024-02-02,NIFTY,GAP_GO,CALL,0.56,15.0,25.7,72.3,10:15:00,11:15:00,21938.7,22042.75,168.77,200.05,10.43,31.28,3,150,4,4092.0,1228.46,600,40.0,8.91,4043.09,15.97,TP (+31.3pts)
2024-02-14,NIFTY,GAP_GO,PUT,0.69,15.0,20.7,39.7,09:45:00,10:00:00,21600.1,21620.4,67.84,63.09,4.75,14.25,3,150,1,-1312.5,122.11,600,40.0,2.75,-1355.25,-13.32,SL (-4.8pts)
2024-03-01,NIFTY,GAP_GO,CALL,0.56,15.0,32.1,63.7,10:00:00,10:45:00,22196.95,22172.45,170.76,155.14,15.62,46.88,3,150,3,-2943.0,897.41,600,40.0,6.89,-2989.89,-11.67,SL (-15.6pts)
2024-03-21,NIFTY,GAP_GO,CALL,0.62,15.0,22.4,75.6,10:00:00,11:00:00,22068.1,22073.95,183.37,177.91,32.27,96.82,3,150,4,-1419.03,1257.78,600,40.0,7.92,-1466.94,-5.33,MaxHold (4c)
2024-03-22,NIFTY,GAP_GO,PUT,0.37,15.0,19.7,45.9,09:30:00,09:45:00,21950.45,21990.8,168.86,159.46,9.4,28.2,2,100,1,-1340.0,202.63,400,40.0,4.72,-1384.72,-8.2,SL (-9.4pts)
2024-04-01,NIFTY,GAP_GO,CALL,0.5,15.0,36.9,63.3,09:45:00,10:45:00,22521.2,22477.05,122.51,99.86,22.65,67.95,3,150,4,-3997.5,805.91,600,40.0,4.4,-4041.9,-21.99,SL (-22.6pts)
2024-04-15,NIFTY,GAP_GO,PUT,0.8,15.0,49.5,26.2,09:45:00,10:00:00,22343.85,22360.3,121.54,117.24,4.3,12.9,3,150,1,-1245.0,218.77,600,40.0,5.19,-1290.19,-7.08,SL (-4.3pts)
2024-04-19,NIFTY,GAP_GO,PUT,0.84,15.0,42.2,29.4,09:45:00,10:00:00,21869.75,21884.75,168.24,161.79,6.45,19.35,3,150,1,-1567.5,302.83,600,40.0,7.19,-1614.69,-6.4,SL (-6.5pts)
2024-05-03,NIFTY,GAP_GO,CALL,0.48,15.0,17.1,63.2,09:45:00,10:00:00,22767.7,22681.4,175.15,168.97,6.18,18.53,2,100,1,-1018.0,210.18,400,40.0,5.01,-1063.01,-6.07,SL (-6.2pts)
2024-07-05,NIFTY,GAP_GO,PUT,0.38,15.0,23.9,30.0,09:45:00,10:00:00,24187.4,24226.05,186.07,167.67,18.4,55.2,2,100,1,-2240.0,223.28,400,40.0,4.97,-2284.97,-12.28,SL (-18.4pts)
2024-08-05,NIFTY,GAP_GO,PUT,1.61,15.0,47.4,22.1,10:00:00,10:45:00,24292.15,24096.65,132.14,200.16,22.67,68.02,3,150,3,9603.0,800.0,600,40.0,8.92,9554.08,48.2,TP (+68.0pts)
2024-08-09,NIFTY,GAP_GO,CALL,1.2,15.0,21.4,60.6,10:00:00,10:15:00,24356.45,24328.65,171.04,166.61,4.43,13.28,3,150,1,-1264.5,307.87,600,40.0,7.41,-1311.91,-5.11,SL (-4.4pts)
2024-08-16,NIFTY,GAP_GO,CALL,0.79,15.0,25.7,62.5,09:45:00,10:15:00,24300.15,24238.95,186.93,179.83,7.1,21.3,3,150,2,-1665.0,664.28,600,40.0,8.0,-1713.0,-6.11,SL (-7.1pts)
2024-08-30,NIFTY,GAP_GO,CALL,0.37,15.0,26.8,61.6,09:30:00,10:15:00,25223.0,25218.6,194.03,185.3,8.73,26.18,2,100,3,-1273.0,689.06,400,40.0,5.5,-1318.5,-6.8,SL (-8.7pts)
2024-09-19,NIFTY,GAP_GO,CALL,0.57,15.0,29.7,60.4,09:45:00,10:00:00,25525.3,25513.05,212.09,210.09,2.0,6.0,3,150,1,-900.0,381.76,600,40.0,9.36,-949.36,-2.98,SL (-2.0pts)
2024-12-23,NIFTY,GAP_GO,CALL,0.45,15.0,34.1,46.5,09:30:00,10:30:00,23745.75,23762.2,129.17,131.16,22.08,66.23,2,100,4,-201.06,623.56,400,40.0,3.87,-244.94,-1.9,MaxHold (4c)
2025-03-20,NIFTY,GAP_GO,CALL,0.54,15.0,33.7,70.0,09:45:00,10:00:00,23025.7,22987.65,191.32,181.3,10.02,30.07,3,150,1,-2103.0,344.38,600,40.0,8.07,-2151.07,-7.5,SL (-10.0pts)
2025-04-08,NIFTY,GAP_GO,CALL,0.94,15.0,41.1,60.9,09:45:00,10:00:00,22412.75,22383.95,70.39,60.87,9.52,28.57,3,150,1,-2028.0,126.7,600,40.0,2.65,-2070.65,-19.61,SL (-9.5pts)
2025-04-11,NIFTY,GAP_GO,CALL,1.23,15.0,31.5,73.8,10:15:00,10:30:00,22799.85,22784.35,175.39,168.37,7.02,21.07,3,150,1,-1653.0,315.7,600,40.0,7.49,-1700.49,-6.46,SL (-7.0pts)
2025-05-05,NIFTY,GAP_GO,CALL,0.44,15.0,16.2,57.9,09:30:00,10:30:00,24449.15,24522.65,132.99,162.79,23.03,69.08,2,100,4,2580.13,694.87,400,40.0,4.82,2535.31,19.06,MaxHold (4c)
2025-05-12,NIFTY,GAP_GO,CALL,1.59,15.0,51.5,78.3,10:30:00,11:30:00,24699.75,24728.2,134.36,142.16,13.23,39.68,3,150,4,569.61,964.14,600,40.0,6.31,523.31,2.6,MaxHold (4c)
2025-06-24,NIFTY,GAP_GO,CALL,0.4,15.0,40.9,69.9,09:30:00,10:30:00,25176.3,25213.7,111.82,124.47,18.02,54.07,2,100,4,865.37,604.63,400,40.0,3.67,821.7,7.35,MaxHold (4c)
2025-08-18,NIFTY,GAP_GO,CALL,1.31,15.0,27.1,78.7,10:15:00,10:45:00,24975.45,24960.75,135.86,133.86,2.0,6.0,3,150,2,-900.0,490.44,600,40.0,5.93,-945.93,-4.64,SL (-2.0pts)
2025-08-25,NIFTY,GAP_GO,PUT,0.51,15.0,27.8,24.9,09:45:00,10:45:00,24925.95,24949.4,135.59,117.35,21.42,64.27,3,150,4,-3335.29,976.54,600,40.0,5.19,-3380.48,-16.62,MaxHold (4c)
2025-10-20,NIFTY,GAP_GO,CALL,0.47,15.0,27.1,63.2,09:45:00,10:45:00,25808.55,25881.0,140.39,169.25,10.02,30.07,2,100,4,2485.59,736.91,400,40.0,5.02,2440.58,17.38,MaxHold (4c)
2025-12-15,NIFTY,GAP_GO,PUT,0.43,15.0,29.4,44.4,09:45:00,10:00:00,25951.6,25961.35,141.17,139.17,2.0,6.0,2,100,1,-600.0,169.4,400,40.0,4.12,-644.12,-4.56,SL (-2.0pts)
2025-12-19,NIFTY,GAP_GO,CALL,0.37,15.0,21.3,63.9,10:00:00,10:15:00,25935.6,25959.9,182.13,191.95,3.27,9.82,2,100,1,582.0,218.56,400,40.0,5.7,536.3,2.94,TP (+9.8pts)
2025-12-22,NIFTY,GAP_GO,CALL,0.36,15.0,30.3,75.3,10:15:00,10:45:00,26124.85,26142.6,116.03,122.03,2.0,6.0,2,100,2,200.0,276.35,400,40.0,3.6,156.4,1.35,TP (+6.0pts)
2026-01-22,NIFTY,GAP_GO,CALL,0.7,15.0,32.1,64.8,10:00:00,10:15:00,25376.0,25291.9,210.85,204.5,6.35,19.05,3,150,1,-1552.5,379.53,600,40.0,9.11,-1601.61,-5.06,SL (-6.3pts)
2026-01-30,NIFTY,GAP_GO,PUT,0.69,15.0,24.9,45.2,09:45:00,10:45:00,25283.4,25302.05,194.5,176.28,19.88,59.62,3,150,4,-3333.55,1334.8,600,40.0,7.84,-3381.39,-11.59,MaxHold (4c)
2026-02-23,NIFTY,GAP_GO,CALL,0.44,15.0,18.9,62.3,09:45:00,10:15:00,25728.65,25706.45,139.95,131.17,8.78,26.33,2,100,2,-1278.0,327.08,400,40.0,3.88,-1321.88,-9.45,SL (-8.8pts)
2026-03-09,NIFTY,GAP_GO,PUT,2.46,15.0,34.0,18.7,10:00:00,10:45:00,23806.2,23862.35,129.5,115.52,13.98,41.93,3,150,3,-2697.0,733.11,600,40.0,5.11,-2742.11,-14.12,SL (-14.0pts)
2026-03-12,NIFTY,GAP_GO,PUT,0.73,15.0,47.0,29.5,09:45:00,10:00:00,23693.8,23610.15,196.87,202.87,2.0,6.0,3,150,1,300.0,354.37,600,40.0,9.04,250.96,0.85,TP (+6.0pts)
2026-03-27,NIFTY,GAP_GO,PUT,0.58,15.0,36.9,29.2,10:00:00,11:00:00,22980.5,22990.45,176.78,163.63,27.23,81.68,3,150,4,-2571.89,1225.64,600,40.0,7.27,-2619.16,-9.88,MaxHold (4c)
2026-04-01,NIFTY,GAP_GO,CALL,2.32,15.0,40.3,59.9,10:15:00,10:45:00,22796.5,22770.75,71.59,59.17,12.42,37.27,3,150,2,-2463.0,266.08,600,40.0,2.57,-2505.57,-23.33,SL (-12.4pts)
2026-04-02,NIFTY,GAP_GO,PUT,1.41,15.0,36.1,28.6,10:30:00,10:45:00,22221.4,22243.7,184.64,177.24,7.4,22.2,3,150,1,-1710.0,332.35,600,40.0,7.89,-1757.89,-6.35,SL (-7.4pts)
2026-04-10,NIFTY,GAP_GO,CALL,0.48,15.0,26.6,67.6,09:45:00,10:45:00,23988.45,23999.7,184.54,181.21,22.4,67.2,2,100,4,-733.24,895.74,400,40.0,5.38,-778.61,-4.22,MaxHold (4c)
2026-04-15,NIFTY,GAP_GO,CALL,1.45,15.0,29.9,74.6,10:30:00,10:45:00,24243.1,24216.1,76.14,72.32,3.82,11.47,3,150,1,-1173.0,137.05,600,40.0,3.16,-1216.16,-10.65,SL (-3.8pts)
2026-04-16,NIFTY,GAP_GO,CALL,0.72,15.0,38.0,62.2,09:30:00,09:45:00,24301.95,24271.55,201.93,199.93,2.0,6.0,3,150,1,-900.0,363.47,600,40.0,8.91,-948.91,-3.13,SL (-2.0pts)
